time,temp,tmin,tmax,txmn,txmx,prcp,pres,name,country,region,latitude,longitude,NINO12,NINO12ANOM,NINO34,NINO34ANOM,ICEN
1980-01-01,26.8,,,,,0.0,1013.3,Piura,PE,PI,-5.1833,-80.6,24.32,-0.25,27.08,0.54,0.11
1980-02-01,28.0,,,,,0.0,1013.2,Piura,PE,PI,-5.1833,-80.6,25.68,-0.42,26.97,0.22,0.24
1980-03-01,28.2,,,,,10.0,1011.1,Piura,PE,PI,-5.1833,-80.6,26.48,-0.01,27.31,0.03,0.34
1980-04-01,27.3,,,,,46.0,1012.3,Piura,PE,PI,-5.1833,-80.6,25.54,0.0,27.75,-0.07,0.37
1980-05-01,25.3,16.8,32.4,,,27.81,1013.76,Piura,PE,PI,-5.1833,-80.6,23.98,-0.43,28.01,0.08,0.22
1980-06-01,,,,,,,,,,,,,22.76,-0.36,27.94,0.21,-0.05
1980-07-01,22.4,,,,,0.0,1014.9,Piura,PE,PI,-5.1833,-80.6,21.12,-0.84,27.23,-0.06,-0.13
1980-08-01,21.3,,,,,0.0,1013.76,Piura,PE,PI,-5.1833,-80.6,20.52,-0.48,26.48,-0.38,-0.15
1980-09-01,21.6,,,,,0.0,1015.3,Piura,PE,PI,-5.1833,-80.6,20.43,-0.3,26.44,-0.28,-0.05
1980-10-01,22.3,,,,,0.0,1015.4,Piura,PE,PI,-5.1833,-80.6,20.52,-0.5,26.46,-0.26,-0.06
1980-11-01,23.3,,,,,6.0,1014.9,Piura,PE,PI,-5.1833,-80.6,21.24,-0.41,26.6,-0.1,-0.13
1980-12-01,24.7,18.5,32.7,,,4.0,1013.76,Piura,PE,PI,-5.1833,-80.6,22.41,-0.4,26.65,0.05,-0.53
1981-01-01,,,,,,,,,,,,,23.06,-1.5,26.18,-0.36,-0.74
1981-02-01,26.9,,,,,3.0,1012.4,Piura,PE,PI,-5.1833,-80.6,24.93,-1.17,26.11,-0.64,-0.74
1981-03-01,26.6,,,,,34.0,1012.6,Piura,PE,PI,-5.1833,-80.6,25.94,-0.55,26.64,-0.64,-0.48
1981-04-01,25.3,19.7,33.0,,,27.81,1013.76,Piura,PE,PI,-5.1833,-80.6,24.81,-0.73,27.29,-0.53,-0.34
1981-05-01,22.9,17.6,29.8,,,0.0,1015.0,Piura,PE,PI,-5.1833,-80.6,23.65,-0.77,27.36,-0.57,-0.38
1981-06-01,21.3,,,,,0.0,1015.6,Piura,PE,PI,-5.1833,-80.6,22.49,-0.63,27.27,-0.46,-0.41
1981-07-01,20.0,,,,,0.0,1016.0,Piura,PE,PI,-5.1833,-80.6,21.07,-0.89,26.65,-0.64,-0.55
1981-08-01,18.5,14.4,26.9,,,0.0,1012.5,Piura,PE,PI,-5.1833,-80.6,19.88,-1.13,26.33,-0.53,-0.63
1981-09-01,20.2,14.7,28.9,,,0.0,1015.7,Piura,PE,PI,-5.1833,-80.6,19.93,-0.79,26.53,-0.19,-0.56
1981-10-01,21.4,,30.0,,,0.0,1015.3,Piura,PE,PI,-5.1833,-80.6,20.44,-0.57,26.42,-0.3,-0.4
1981-11-01,22.6,16.1,30.4,,,0.0,1014.8,Piura,PE,PI,-5.1833,-80.6,21.19,-0.46,26.29,-0.41,-0.24
1981-12-01,24.0,,,,,14.0,1013.6,Piura,PE,PI,-5.1833,-80.6,22.63,-0.18,26.4,-0.2,-0.14
1982-01-01,25.7,,,,,0.0,1013.8,Piura,PE,PI,-5.1833,-80.6,24.3,-0.26,26.67,0.13,-0.17
1982-02-01,25.8,,,,,0.0,1012.8,Piura,PE,PI,-5.1833,-80.6,25.31,-0.79,26.59,-0.17,-0.45
1982-03-01,25.9,,,,,0.0,1012.7,Piura,PE,PI,-5.1833,-80.6,25.2,-1.29,27.41,0.13,-0.62
1982-04-01,24.7,,,,,0.0,1013.9,Piura,PE,PI,-5.1833,-80.6,24.73,-0.81,28.03,0.21,-0.45
1982-05-01,23.3,,,,,0.0,1014.0,Piura,PE,PI,-5.1833,-80.6,24.11,-0.31,28.39,0.45,0.0
1982-06-01,21.8,,,,,0.0,1014.7,Piura,PE,PI,-5.1833,-80.6,23.25,0.13,28.26,0.53,0.45
1982-07-01,21.7,,,,,0.0,1013.7,Piura,PE,PI,-5.1833,-80.6,22.43,0.47,27.66,0.37,0.8
1982-08-01,21.2,,,,,0.0,1014.7,Piura,PE,PI,-5.1833,-80.6,21.81,0.8,27.58,0.73,1.16
1982-09-01,22.2,,,,,0.0,1014.8,Piura,PE,PI,-5.1833,-80.6,22.03,1.31,28.21,1.49,1.58
1982-10-01,23.2,,,,,0.0,1014.6,Piura,PE,PI,-5.1833,-80.6,22.83,1.81,28.71,1.99,2.26
1982-11-01,25.5,,,,,27.81,1013.76,Piura,PE,PI,-5.1833,-80.6,24.68,3.03,28.62,1.92,2.83
1982-12-01,27.5,,,,,27.81,1013.76,Piura,PE,PI,-5.1833,-80.6,25.97,3.16,28.8,2.2,3.11
1983-01-01,27.7,,,,,4.0,1010.4,Piura,PE,PI,-5.1833,-80.6,27.21,2.65,28.89,2.35,2.85
1983-02-01,28.6,,,,,245.0,1010.8,Piura,PE,PI,-5.1833,-80.6,28.13,2.03,28.69,1.94,2.63
1983-03-01,28.4,,,,,430.0,1011.0,Piura,PE,PI,-5.1833,-80.6,28.72,2.23,28.66,1.38,2.87
