time,temp,tmin,tmax,txmn,txmx,prcp,pres,name,country,region,latitude,longitude,YR_x,MON_x,NINO12,NINO12ANOM,NINO34,NINO34ANOM,YR_y,MON_y,ICEN
1980-01-01,21.6,15.8,25.5,,,4.17,1013.44,Trujillo,PE,LD,-8.1,-79.0333,1980,1,24.32,-0.25,27.08,0.54,1980.0,1.0,0.11
1980-02-01,21.3,,,,,0.0,1016.4,Trujillo,PE,LD,-8.1,-79.0333,1980,2,25.68,-0.42,26.97,0.22,1980.0,2.0,0.24
1980-03-01,22.6,,,,,0.0,1009.4,Trujillo,PE,LD,-8.1,-79.0333,1980,3,26.48,-0.01,27.31,0.03,1980.0,3.0,0.34
1980-04-01,21.5,,26.4,,,0.0,1010.4,Trujillo,PE,LD,-8.1,-79.0333,1980,4,25.54,0.0,27.75,-0.07,1980.0,4.0,0.37
1980-05-01,19.4,16.0,23.8,,,4.17,1013.44,Trujillo,PE,LD,-8.1,-79.0333,1980,5,23.98,-0.43,28.01,0.08,1980.0,5.0,0.22
1980-06-01,18.5,,,,,4.17,1013.44,Trujillo,PE,LD,-8.1,-79.0333,1980,6,22.76,-0.36,27.94,0.21,1980.0,6.0,-0.05
1980-07-01,17.6,14.4,21.8,,24.0,0.0,1012.9,Trujillo,PE,LD,-8.1,-79.0333,1980,7,21.12,-0.84,27.23,-0.06,1980.0,7.0,-0.13
1980-08-01,16.3,14.3,19.8,,,0.0,1013.1,Trujillo,PE,LD,-8.1,-79.0333,1980,8,20.52,-0.48,26.48,-0.38,1980.0,8.0,-0.15
1980-09-01,16.4,14.0,20.2,,,0.0,1013.7,Trujillo,PE,LD,-8.1,-79.0333,1980,9,20.43,-0.3,26.44,-0.28,1980.0,9.0,-0.05
1980-10-01,16.1,14.4,20.5,,,0.0,1013.7,Trujillo,PE,LD,-8.1,-79.0333,1980,10,20.52,-0.5,26.46,-0.26,1980.0,10.0,-0.06
1980-11-01,18.0,15.2,22.3,,25.0,0.0,1013.3,Trujillo,PE,LD,-8.1,-79.0333,1980,11,21.24,-0.41,26.6,-0.1,1980.0,11.0,-0.13
